Year,Hometown
1995,"Oconomowoc, WI "
1995,"Fergus Falls, MN "
1995,"Oakland, CA"
1995,"Royal Oak, MI "
1995,"Seattle, WA"
1995,"New York, NY"
1995,"Bloomington, IN "
1995,"Columbia, SC "
1995,"Palm Bay, FL"
1995,"Bellevue, WA "
1995,"San Pedro, CA"
1995,"Duluth, MN "
1995,"Hollis, NH "
1995,"Berkeley, CA "
1995,"Chevy Chase, MD "
1995,"Minneapolis, MN "
1995,"West Des Moines, IA "
1995,"Ingleside, IL"
1995,"Park Forest, IL"
1995,"Columbus, OH "
1995,"Deer River, MN"
1995,"Apple Valley, MN "
1995,"Scarsdale, NY "
1995,"South Hadley, MA "
1995,"Bloomington, MN "
1995,"Anchorage, AK "
1995,"Greenfield Center, NY "
1995,"Union, NH "
1995,"Crystal, MN "
1995,"Washington Grove, MD "
1995,"Alexandria, MN "
1995,"Kirkland, WA"
1995,"Longmeadow, MA "
1995,"Portland, OR"
1995,"Vail, CO"
1995,"Reisterstown, MD "
1995,"Eagan, MN"
1995,"W Newton, MA "
1995,"Brandon, MS "
1995,"Silver Spring, MD "
1995,"Tecumseh, KS "
1995,Odebolt IA
1995,"Alamogordo, NM "
1995,"Jefferson, OR "
1995,"Westmount, Quebec, Canada"
1995,"Lake City, MN "
1995,"Sauk Centre, MN "
1995,"San Diego, CA"
1995,"Bentonville, AR "
1995,"Syracuse, NY "
1995,"Seldovia, AK"
1995,"Pearl City, HI"
1995,"Shreveport, LA"
1995,"Lake Forest, IL "
1995,"Petoskey, MI"
1995,"Western Springs, IL "
1995,"Western Springs, IL "
1995,"Rochester, MN "
1995,"Kansas City, MO "
1995,"Seattle, WA"
1995,Northville MI
1995,"Wappingers Falls, NY "
1995,"East Lyme, CT"
1995,"Chicago, IL "
1995,Madison WI
1995,"Pleasant Hill, CA "
1995,"Chanhassen, MN "
1995,"Northfield, MN "
1995,"Minneapolis, MN "
1995,"Cottage Grove, MN "
1995,"Alexandria, VA"
1995,"Minneapolis, MN"
1995,"Philadelphia, PA "
1995,"Leawood, KS"
1995,"Sartell, MN"
1995,"Ames, IA"
1995,"Omaha, NE"
1995,"Mc Lean, VA"
1995,"Summit, NJ"
1995,"Park Rapids, MN"
1995,"Bangor, ME"
1995,"Maple Grove, MN "
1995,"Carroll, IA"
1995,"Walnut Creek, CA"
1995,"Saint Louis, MO"
1995,"Brooklyn, NY "
1995,"Bloomington, MN "
1995,"Palatine, IL"
1995,"Bellingham, WA "
1995,"Deadwood, OR "
1995,"London, Ontario, Canada"
1995,"Brookfield, WI "
1995,"Aurora, IL"
1995,"Rochester, MN "
1995,"Rochester, MN "
1995,"Madison, WI "
1995,"Bayport, NY"
1995,"Leander, TX"
1995,"Watertown, MN "
1995,"Boise, ID"
1995,"Santa Barbara, CA "
1995,"Rochester, MN "
1995,"Columbia Heights, MN "
1995,"Mount Lebanon, PA "
1995,"Tacoma, WA "
1995,"Seattle, WA"
1995,"New Brighton, MN "
1995,"Fort Worth, TX"
1995,"Danville, CA"
1995,"Mendota Heights, MN"
1995,"Oak Park, IL"
1995,"Evanston, IL "
1995,"Bismarck, ND "
1995,"Grand Rapids, MI "
1995,"Saint Paul, MN "
1995,"Alberton, MT"
1995,"Merrick, NY "
1995,"New Hope, MN "
1995,"Waltham, MA "
1995,"Miami, FL"
1995,"Tacoma, WA"
1995,"Oxford, MS"
1995,"Little Falls, MN"
1995,"Lincoln, NE"
1995,"Bethesda, MD "
1995,"La Canada, CA"
1995,"Concord, MA "
1995,"Milwaukee, WI "
1995,"Honolulu, HI "
1995,"Los Angeles, CA "
1995,"Saint Paul, MN "
1995,"Seattle, WA"
1995,"Ellenwood, GA "
1995,"Shaker Heights, OH "
1995,"Wooster, OH"
1995,"Oak Park, IL"
1995,"Lake Geneva, WI "
1995,"Minneapolis, MN "
1995,"Orange, CT"
1995,"Highland Park, IL "
1995,"Cleveland Heights, OH "
1995,"San Francisco, CA "
1995,"Minneapolis, MN "
1995,"Golden Valley, MN "
1995,"Hollis, NH "
1995,"Shaker Heights, OH "
1995,"Burnsville, MN "
1995,"Missouri City, TX "
1995,"Corvallis, OR"
1995,"St. Paul, MN "
1995,"Saint Louis, MO"
1995,"Radford, VA"
1995,"Peoria, IL"
1995,"Oak Park, IL"
1995,"Lincoln, MA "
1995,"Eau Claire, WI"
1995,"Ithaca, NY"
1995,"Putney, VT "
1995,"Annandale, VA"
1995,"Camarillo, CA"
1995,"Wheaton, IL "
1995,"Hastings on Hudson, NY "
1995,"Coldwater, MI "
1995,"Cedar Rapids, IA"
1995,"Edina, MN"
1995,"Chatfield, MN "
1995,"Ukiah, CA"
1995,"Town & Country, MO "
1995,"Tokyo, Japan "
1995,"New York, NY"
1995,"Hollis, NH "
1995,"Portland, OR"
1995,"Elk Mound, WI"
1995,"Stromsburg, NE "
1995,"Kwangju-Kun, Korea "
1995,"North Hollywood, CA "
1995,"Oklahoma City, OK "
1995,"Tome, NM "
1995,"Arlington, VA"
1995,"Bell, CA"
1995,"Wilmette, IL"
1995,"Kirkwood, MO "
1995,"New York, NY"
1995,"Anchorage, AK "
1995,"El Paso, TX"
1995,"Franksville, WI"
1995,"McLean, VA"
1995,"Newburyport, MA "
1995,"Friendswood, TX "
1995,"Rice Lake, WI"
1995,"Los Angeles, CA "
1995,"Minnetonka, MN "
1995,"Seattle, WA"
1995,"De Kalb, IL"
1995,"Lancaster, PA"
1995,"Windham, ME"
1995,"Brownsville, TX "
1995,"Havre de Grace, MD "
1995,"East Moline, IL"
1995,"Seattle, WA"
1995,"Bloomington, IN "
1995,"Downingtown, PA "
1995,"Lee's Summit, MO "
1995,"Hinsdale, IL"
1995,"Wilton, ME"
1995," Nashville, TN"
1995,"Eugene, OR"
1995,"Wilmington, DE "
1995,"El Monte, CA"
1995,"Portland, OR"
1995,"Hazen, ND"
1995,"Alexandria, MN "
1995,"Minneapolis, MN "
1995,"Evergreen, CO "
1995,"Glen Cove, NY"
1995,"San Francisco, CA "
1995,"Osage, MN "
1995,"Sioux Falls, SD "
1995,"Boulder, CO"
1995,"Hamilton, NJ"
1995,"Oak Park, IL"
1995,"Manhattan, KS"
1995,"Minneapolis, MN"
1995,"East Hampton, CT "
1995,"Edina, MN"
1995,"Bloomington, MN "
1995,"Barrington, IL"
1995,"Olympia, WA"
1995,"Flossmoor, IL "
1995,Leucadia CA
1995,"Riverside, CT "
1995,"West Linn, OR "
1995,"Bowmansville, NY "
1995,"Kewaskum, WI "
1995,"Durham, NC "
1995,"Edina, MN "
1995,"Chappaqua, NY "
1995,"Bloomington, IL "
1995,"Portland, ME "
1995,"Somerville, MA "
1995,"Mexico, NY "
1995,"Fairport, NY"
1995,"Northfield, MN "
1995,"Edina, MN"
1995,"Kanagawa-ken, Japan "
1995,"Chicago, IL"
1995,"Stanhope, IA"
1995,"Tucson, AZ"
1995,"New Ulm, MN"
1995,"Red Lake Falls, MN "
1995,"Des Moines, IA "
1995,"Pittsburgh, PA"
1995,"Powell, WY"
1995,"Meadville, PA "
1995,"Schenectady, NY "
1995,"Milwaukee, WI"
1995,"Minnetonka, MN "
1995,"Baltimore, MD "
1995,"Goshen, IN"
1995,"Kensington, MD "
1995,"Los Angeles, CA "
1995,"Redding, CT"
1995,"Santa Monica, CA "
1995,"Indianapolis, IN "
1995,"Greenville, SC "
1995,"Silver Spring, MD "
1995,"Manhattan, KS "
1995,Pembroke MA
1995,"Northville, MI "
1995,"Le Cresent, MN "
1995,"Columbia Heights, MN "
1995,"Saint Louis, MO"
1995,"Wooster, OH"
1995,"Oberlin, OH"
1995,"New York, NY"
1995,"Webster Groves, MO "
1995,"Plymouth, MN "
1995,"Schaumburg, IL "
1995,"Champlin, MN "
1995,"Rochester, NY "
1995,"Sarasota, FL"
1995,"Des Peres, MO "
1995,"Gallipolis, OH"
1995,"Chapel Hill, NC"
1995,"Nonwich, VT"
1995,"Saint Paul Park, MN "
1995,"Greeley, CO"
1995,"Tokyo, Japan "
1995,"Oakland, CA"
1995,"Fairbanks, AK "
1995,"Austin, MN"
1995,"New York, NY "
1995,"Salt Lake City, UT "
1995,"Salt Lake City, UT "
1995,"Newton, MA"
1995,"North Caldwel, NJ "
1995,"Saline, MI"
1995,"Seattle, WA"
1995,"Adams, MN"
1995,"Ewing, NJ"
1995,"Rumford, RI"
1995,"Costa Mesa, CA "
1995,"Woodbury, MN "
1995,"Toronto, Ontario, Canada"
1995,"W State College, PA "
1995,"San Bernardino, CA "
1995,"Vassalboro, ME "
1995,Austin MN
1995,"Willowbrook, IL "
1995,"Bellevue, WA "
1995,"Blaine, MN"
1995,"Northfield, MN "
1995,"McLean, VA"
1995,"Los Altos Hills, CA "
1995,Marshfield WI
1995,"Vancouver, WA "
1995,"Houston, TX"
1995,"Eden Prairie, MN "
1995,"Steamboat Springs, CO "
1995,"Oak Brook, IL"
1995,"Chicago, IL"
1995,"Chicago, IL"
1995,"Boxford, MA "
1995,"Oberlin, OH "
1995,"St. Louis, MO "
1995,"Rochester, MN "
1995,"Omaha, NE"
1995,"Webster Groves, MO "
1995,"Buffalo, MN"
1995,"Maple Grove, MN "
1995,"High Point, NC"
1995,"Peoria, IL"
1995,"Plymouth, MN "
1995,"Saint Cloud, MN "
1995,"Buckhannon, WV "
1995,"Excelsior, MN "
1995,"Verona, WI "
1995,"Anchorage, AK "
1995,"Burnsville, MN "
1995,"Portland, OR"
1995,"Tucson, AZ"
1995,"Nashville, TN"
1995,"Cambridge, MN "
1995,"Middlebury, VT "
1995,"Kaneohe, HI "
1995,"Kansas City, MO "
1995,"Saint Paul, MN "
1995,"Nashville, TN "
1995,"Plymouth, MN "
1995,"Kenosha, WI"
1995,"Bloomington, MN "
