Year,Hometown
1995,"Brainerd, MN "
1995,"Saint Paul, MN "
1995,"Fresno, CA"
1995,"Iowa City, IA"
1995,"Amarillo, TX"
1995,"West Alexandria, OH "
1995,"Smithtown, NY "
1995,"Minneapolis, MN "
1995,"Decatur, GA"
1995,"Austin, TX"
1995,"Saint Louis, MO"
1995,"Plymouth, MN "
1995,"Evanston, IL "
1995,"Ham Lake, MN"
1995,"Madison, WI"
1995,"Spring Valley, WI "
1995,"South Bend, IN "
1995,Clayton MO
1995,"San Antonio, TX "
1995,"Oak Park, IL"
1995,"Stratford, Ontario, CAN "
1995,"Newton, MA "
1995,"Laguna Hills, CA "
1995,"Philadelphia, PA "
1995,"Rapid City, SD"
1995,"Hurst, TX"
1995,"Wadsworth, OH "
1995,"New York, NY "
1995,"Austin, TX"
1995,"Lewisburg, PA "
1995,"South Ben, IN "
1995,"Blaine, MN"
1995,"Eugene, OR"
1995,"Shoreview, MN "
1995,"Libertyville, IL "
1995,"Darien, CT"
1995,"Waseca, MN"
1995,Altoona WI
1995,"Clayton, MO"
1995,"Rochester, MN "
1995,"Acton, MA "
1995,"Amherst, MA"
1995,"Bloomington, MN "
1995,"Santa Barbara, CA "
1995,"Maitland, FL "
1995,"Los Angeles, CA "
1995,"Birmingham, AL "
1995,"Bronx, NY"
1995,"Fairfax, VA"
1995,"Wichita, KS "
1995,"Falmouth, MA "
1995,"Prescott, AZ"
1995,"Eden Prairie, MN "
1995,"Denver, CO "
1995,"Oak Park, IL"
1995,"Garrettsville, OH "
1995,"Burien, WA"
1995,"Huber Heights, OH "
1995,"Shaker Heights, OH "
1995,"Wyncote, PA "
1995,"Oak Park, IL"
1995,"Mendota Heights, MN "
1995,"Duluth, MN"
1995,"Van Horn, TX"
1995,"Creve Coeur, MO "
1995,"St Louis Park, MN "
1995,"Tucson, AZ"
1995,"Bloomington, MN "
1995,"Accra, Ghana "
1995,"Saint Paul, MN"
1995,"Glen Rock, NJ"
1995,"Pine River, MN"
1995,"Schaumburg, IL "
1995,"Stone Mountain, GA "
1995,"Denver, CO"
1995,"Rochester, MN "
1995,"Kaufman, TX"
1995,"Great Falls, MT"
1995,"Yarmouthport, MA "
1995,"Blue Springs, MO "
1995,"Ann Arbor, MI "
1995,"Lombard, IL "
1995,"Apple Valley, CA "
1995,"Bell Gardens, CA "
1995,"Santa Barbara, CA "
1995,"Palo Alto, CA"
1995,"Fargo, ND"
1995,"Bemidji, MN"
1995,"Burnsville, MN "
1995,"Wooster, OH"
1995,"Orinda, CA"
1995,"Ariington, VA"
1995,"Des Moines, IA "
1995,"Milwaukee, WI "
1995,"Grand Marais, MN "
1995,"Cambridge, MN "
1995,"Sunnyvale, CA "
1995,"Saint Paul, MN "
1995,"Park Ridge, IL"
1995,"Carpinteria, CA "
1995,"Highland Park, IL "
1995,"White Bear Lake, MN "
1995,"Minneapolis, MN "
1995,"Evansville, IN "
1995,"Duluth, MN"
1995,"Springville, NY "
1995,"Hollandale, MN"
1995,"Lanse, MI"
1995,"Staten Island, NY "
1995,"Golden Valley, MN "
1995,"Mukilteo, WA "
1995,"Rochester, MN "
1995,"Chattanooga, TN "
1995,"Shorewood, MN "
1995,"Salem, OR"
1995,"Chevy Chase, MD "
1995,"Brunswick, ME "
1995,"Shorewood, MN "
1995,"Wrenshall, MN "
1995,"Columbia Heights, MN "
1995,"Sherborn, MA "
1995,"Oak Park, IL"
1995,"Old Greenwich, CT "
1995,"Stillwater, OK "
