Year,City,State,Country,,
1980, Evanston, Illinois,United States,,
1980, Lafayette, California,United States,,
1980, St Paul,Minnesota,United States,,
1980,Minneapolis, Minnesota,United States,,
1980, Geneseo, Illinois,United States,,
1980, Oberlin,Ohio,United States,,
1980, Brooklyn Park, Minnesota,United States,, 
1980, St Louis Park, Minnesota,United States,,
1980, Bethesda, Maryland,United States,,
1980, Columbia Heights, Minnesota,United States,,
1980, Edina, Minnesota,United States,,
1980, Fullerton, California,United States,,
1980, Schenectady, New York,United States,,
1980, Madison, Wisconsin,United States,,
1980, Swarthmore,Pennsylvania,United States,,
1980, Luverne, Minnesota,United States,,
1980, Newtown, Connecticut,United States,,
1980, Columbus, Ohio,United States,,
1980, Edina, Minnesota,United States,,
1980, Burlington, Iowa,United States,,
1980, Plymouth, Minnesota,United States,,
1980, Silver Spring, Maryland,United States,,
1980, Springfield, Missouri,United States,,
1980, Rohnert Park, California,United States,,
1980, Yokohama, Japan,United States,,
1980, Tulsa, Oklahoma,United States,,
1980, South Sioux City, Nebraska,United States,,
1980, Milaca, Minnesota,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Arlington Heights, Illinois,United States,,
1980, Minnetonka, Minnesota,United States,,
1980, Iowa City, Iowa,United States,,
1980, Elgin, Illinois,United States,,
1980, San Francisco, California,United States,,
1980, Cambridge, Minnesota,United States,,
1980, Faribault, Minnesota,United States,,
1980, Sioux Falls, South Dakota,United States,,
1980, BatonRouge,Louisiana,United States,,
1980, New Ulm, Minnesota,United States,,
1980, Jamestown, North Dakota,United States,,
1980, Brooklyn Park, Minnesota,United States,,
1980, Brainerd, Minnesota,United States,,
1980,Fayettevllle, Arkansas,United States,,
1980, Gallon, Ohio,United States,,
1980, Philadelphia, Pennsylvania,United States,,
1980, Michigan City, Indiana,United States,,
1980, St Paul, Minnesota,United States,,
1980, Hot Springs, South Dakota,United States,,
1980, Albert Lea, Minnesota,United States,,
1980, St Paul,Minnesota,United States,,
1980, Seattle, Washington,United States,,
1980, Galesburg, Michigan,United States,,
1980, St Louis Park, Minnesota,United States,,
1980, Woodstock, Illinois,United States,,
1980, Ames, Iowa,United States,,
1980, Woodstock, Illinois,United States,,
1980, Boulder, Colorado,United States,,
1980, Merrick, New York,United States, ,
1980, Fayettevllle, Arkansas,United States,,
1980, Batavia, Illinois,United States,,
1980, St Paul, Minnesota,United States,,
1980, New Hope, Minnesota,United States,,
1980, River Falls, Wisconsin,United States,,
1980, Baraboo, Wisconsin,United States,,
1980, Des Moines, Iowa,United States,,
1980, Huntington Valley, Pennsylvania,United States,,
1980, Prior Lake, Minnesota,United States,,
1980, West St Paul, Minnesota,United States,,
1980, Rosemount, Minnesota,United States,,
1980, Fort Wayne, Indiana,United States,,
1980, Eagan, Minnesota,United States,,
1980, St. Joseph, Missouri,United States,, 
1980, Fairborn, Ohio,United States,,
1980, Roseville, Minnesota,United States,,
1980, Mt. Clemens, Michigan,United States,,
1980, Minnetonka, Minnesota,United States,,
1980, Northbrook, Illinois,United States,,
1980, Atwater, Minnesota,United States,,
1980, Lexington, Massachusetts,United States,,
1980, Richfield, Minnesota,United States,,
1980, Arlington, f4assachusetts ,United States,,
1980, Circle Pines, Minnesota,United States,,
1980, Glen Ellyn, Illinois,United States,,
1980, Toronto, Canada,United States,,
1980, Boulder, Colorado,United States,,
1980, Highland Park, Illinois,United States,,
1980, Sharon, Massachusetts,United States,,
1980, Seattle, Washington,United States,,
1980, Madrid,,Spain,,
1980, Colby, Kansas,United States,,
1980, Woodbridge, Connecticut,United States,,
1980, Rochester, Minnesota,United States,,
1980, Chicago, Illinois,United States,,
1980, Denver, Colorado,United States,,
1980, Lincoln, Nebraska,United States,,
1980, Pdverdale, Illinois,United States,,
1980, Pine Grove Mills, Pennsylvania,United States,,
1980, Mantorville, Minnesota,United States,,
1980, La Crescent, Minnesota,United States,,
1980, Hartford, Connecticut,United States,,
1980, Chicago, Illinois,United States,,
1980, Monmouth, Illinois,United States,,
1980, Grand Rapids, Minnesota,United States,,
1980, Monterey Park, California,United States,,
1980, Fargo, North Dakota,United States,,
1980, Bakersfield, California,United States,,
1980, Stillwater, Minnesota,United States,,
1980, Renville, Minnesota,United States,,
1980, St Paul, Minnesota,United States,,
1980, Kaneohe, Hawaii,United States,,
1980, Missoula, Montana,United States,,
1980, Bloomington, Minnesota,United States,,
1980, Edina, Minnesota,United States,,
1980, Northbrook, Illinois,United States,,
1980, Palo Alto, California,United States,,
1980, Tinton Falls, New Jersey,United States,,
1980, Washington, DC,United States,,
1980, Ellensburg, Washington,United States,,
1980, St Paul, Minnesota,United States,,
1980, Oak Lawn, Illinois,United States,,
1980, Murray Hill, New Jersey,United States,,
1980, St Paul, Minnesota,United States,,
1980, Bloomington, Minnesota,United States,,
1980, Western Springs, Illinois,United States,,
1980, Kalispell, Montana,United States,,
1980, West St Paul, Minnesota,United States,,
1980, Washington, DC,United States,,
1980, Edina, Minnesota,United States,,
1980, Morton, Pennsylvania,United States,,
1980, Waukesha, Wisconsin,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Mountain Lakes, New Jersey,United States,,
1980, Creston, Ohio,United States,,
1980, Basin, Wyoming,United States,,
