Year,Hometown
1990,Northfield MN
1990,Bennion UT
1990,Bexley OH
1990,Great Falls MT
1990,Wilmette IL
1990,Acton MA
1990,Excelsior MN
1990,Edina MN
1990,Albuquerque NM
1990,Minneapolis MN
1990,Canutillo TX
1990,Columbus NE
1990,Decatur GA
1990,Northampton MA
1990,Eden Prairie MN
1990,Lincoln NE
1990,Seattle WA
1990,Baltimore MD
1990,Los Angeles CA
1990,Birmingham AL
1990,St Louis MO
1990,Brainerd MN
1990,Pittsburgh PA
1990,Hansard MA
1990,Elk River MN
1990,Makinen MN
1990,River Forest IL
1990,Lakewood OH
1990,Hopkinton NH
1990,Elkhorn NE
1990,Rapid City SD
1990,Hinckley MN
1990,Lincoln NE
1990,Clontart MN
1990,Sugar Grove IL
1990,Schaumburg IL
1990,Fridley MN
1990,Winnsboro LA
1990,Lanesboro MN
1990,Blooming Grove NY
1990,Grand Forks ND
1990,Brentwood TN
1990,South St Paul MN
1990,Maple Grove MN
1990,El Paso TX
1990,Chevy Chase MD
1990,Ponca City OK
1990,Soldotna AK
1990,Houston TX
1990,Portland OR
1990,Minneapolis MN
1990,Minnetonka MN
1990,Toledo OH
1990,Bloomington MN
1990,Pearl City HI
1990,Chicago IL
1990,Kansas City KS
1990,Washington DC
1990,Aurora CO
1990,Great Falls MT
1990,Duluth MN
1990,Ariington VA
1990,Redmond WA
1990,Columbia MO
1990,Riverside CA
1990,LaPorte IN
1990,Oak Park IL
1990,Seward NE
1990,Corvallis OR
1990,Minneapolis MN
1990,Oak Ridge TN
1990,Custer Wl
1990,Houston TX
1990,Madison Wl
1990,Claremont CA
1990,Salem OR
1990,Laurium Ml
1990,Newton lA
1990,St Paul MN
1990,Chicago IL
1990,Cook MN
1990,Indianapolis lA
1990,Minneapolis MN
1990,St Louis MO
1990,Walnut Creek CA
1990,New Orleans LA
1990,Prior Lake MN
1990,Great Falls MT
1990,Sedalia MO
1990,Lincoln NE
1990,Makinen MN
1990,Summit NJ
1990,Ann Arbor Ml
1990,Ann Arbor Ml
1990,Anchorage AK
1990,Amarillo TX
1990,Duxbury MA
1990,Port Washington NY
1990,Potomac MD
1990,Allendale NJ
1990,Phoenix AZ
1990,Deerlield IL
1990,Steamboat Spring CO
1990,New York NY
1990,Westwood NJ
1990,Bakersfield CA
1990,Plymouth MN
1990,Evanston IL
1990,Tucson AZ
1990,University City MO
1990,Anchorage AK
1990,Pigeon Falls Wl
1990,Overiand Park KS
1990,Chicago IL
1990,Moscow ID
1990,LaVernia TX
1990,Scarsdale NY
1990,Atlanta GA
1990,Shaker Heights OH
1990,West Lafayette IN
1990,Forest Hills NY
1990,St Paul MN
1990,Irvine CA
1990,Washington DC
1990,Bethesda MD
1990,Short Hills NJ
1990,Menfro MO
1990,Sacramento CA
1990,Prairie Village KS
1990,Eureka IL
1990,Watklns MN
1990,Green Bay Wl
1990,New York NY
1990,Carmichael CA
1990,South Pasadena CA
1990,Sauk Rapids MN
1990,Greenville DE
1990,Edina MN
1990,Duluth MN
1990,Omaha NE
1990,Waukesha Wl
1990,Mt Vernon lA
1990,Northfield MN
1990,Evanston IL
1990,Franklin PA
1990,New York NY
1990,Castle Rock MN
1990,Dedham MA
1990,North Mankato MN
1990,North Mankato MN
1990,Saginaw Ml
1990,Champaign IL
1990,Chicago IL
1990,Berkeley CA
1990,Crestwood MO
1990,Vashon Island WA
1990,Carroll lA
1990,St Paul MN
1990,Andover MA
1990,Kokomo IN
1990,Corvallis OR
1990,New York NY
1990,Ariington VA
1990,St Paul MN
1990,Robbinsdale MN
1990,Seattle WA
1990,Albuquerque NM
1990,Ainsworth NE
1990,Duluth MN
1990,Shelburne VT
1990,Minneapolis MN
1990,Blaine MN
1990,Onamia MN
1990,Minneapolis MN
1990,Tokyo JAPAN
1990,Anchorage AK
1990,Centralia IL
1990,Albert Lea MN
1990,Amherst NH
1990,Seattle WA
1990,Donnelly MN
1990,Overijse BELGIUM
1990,Brooklyn NY
1990,"Fukuoka, JAPAN"
1990,Beresford SD
1990,Montclair NJ
1990,St Anthony MN
1990,Roseville CA
1990,Little Rock AR
1990,San Mateo CA
1990,Wayzata MN
1990,Milwaukee Wl
1990,Edwardsville IL
1990,Bar Harbor ME
1990,Stacy MN
1990,St Louis Park MN
1990,Burnsville MN
1990,New Canaan CT
1990,Pittsford NY
1990,Cook MN
1990,Cleveland MN
1990,Anchorage AK
1990,Allyn WA
1990,Arlington VA
1990,Ariington MA
1990,Newtonville MA
1990,Rochester MN
1990,Burnsville MN
1990,Houston TX
1990,Oak Park IL
1990,New York NY
1990,Helena MT
1990,Charleston SC
1990,Kalamazoo Ml
1990,Medtord MA
1990,Avon MN
1990,Boulder CO
1990,Atlanta GA
1990,Minneapolis MN
1990,South Hadley MA
1990,Fond du Lac Wl
1990,Trimont MN
1990,Louisville KY
1990,St Paul MN
1990,Westport CT
1990,St Louis MO
1990,Chicago IL
1990,Tonka Bay MN
1990,Grosse Pt Farms Ml
1990,Steamboat Spgs CO
1990,Brainerd MN
1990,Grand Rapids MN
1990,Bethesda MD
1990,Glencoe MN
1990,Santa Fe NM
1990,Cerritos CA
1990,Freistatt MO
1990,Wayland MA
1990,Claremont CA
1990,Armonk NY
1990,Lakefield MN
1990,Cheyenne WY
1990,Montclair NJ
1990,Tracy MN
1990,Chappaqua NY
1990,Milwaukee Wl
1990,Bellevue WA
1990,Philadelphia PA
1990,Hudson Wl
1990,St Louis MO
1990,Dover MA
1990,Clarendon Hills IL
1990,Chicago IL
1990,Minnetonka MN
1990,Burnsville MN
1990,Oklahoma City OK
1990,Chicago IL
1990,Brooklyn Park MN
1990,Oconomowoc Wl
1990,Atlanta GA
1990,Okemos Ml
1990,Plymouth MN
1990,Garrett Park MD
1990,Edmond OK
1990,Wayzata MN
1990,Watertown Wl
1990,St Louis MO
1990,Wheaton IL
1990,Winona MN
1990,Princeton NJ
1990,Houston TX
1990,Easton MN
1990,Eau Claire Wl
1990,Ipava IL
1990,Ipava IL
1990,Fairbanks AK
1990,Bismarck ND
1990,Indianola WA
1990,Philadelphia PA
1990,Minneapolis MN
1990,St Cloud MN
1990,Buffalo Grove IL
1990,Concord CA
1990,Billings MT
1990,Ithaca NY
1990,Great Falls MT
1990,Billings MT
1990,St Paul MN
1990,New London MN
1990,Andover MA
1990,Funabasi Chiba JAPAN
1990,Richmond IN
1990,Princeton NJ
1990,San Francisco CA
1990,Springfield IL
1990,Minneapolis MN
1990,Maple Grove MN
1990,Burnsville MN
1990,Portland OR
1990,Los Angeles CA
1990,Dickinson ND
1990,Lavinia TN
1990,Placentia CA
1990,Scarsdale NY
1990,Evanston IL
1990,Peshastin WA
1990,Dennison MN
1990,Franklin Ml
1990,Mora MN
1990,Riverside CA
1990,Miles City MT
1990,Paynesville MN
1990,New Orleans LA
1990,Monroe WA
1990,Honolulu HI
1990,Springfield MO
1990,Baltimore MD
1990,Worthington OH
1990,Warren IN
1990,Seattle WA
1990,Scottsdale AZ
1990,Palmer AK
1990,Upper Ariington OH
1990,Albuquerque NM
1990,Laurel MT
1990,Cheshire CT
1990,Roanoke VA
1990,Hoffman Estates IL
1990,St Cloud MN
1990,Indianapolis IN
1990,Ann Arbor Ml
1990,Ten-e Haute IN
1990,Oklahoma City OK
1990,Faribault MN
1990,Los Gates CA
1990,New York NY
1990,Penn Valley PA
1990,Rochester MN
1990,Minneapolis MN
