Year,Hometown
1990,Albert Lea MN
1990,Plymouth MN
1990,Upper Montclair NJ
1990,Norman OK
1990,Waipahu HI
1990,Rochester MN
1990,Brooklyn Park MN
1990,Schenectady NY
1990,Chicago IL
1990,Iowa City lA
1990,Austin TX
1990,Ridgefield CT
1990,Great Falls MT
1990,Racine Wl
1990,St Paul MN
1990,White Bear Lake MN
1990,Readsboro VT
1990,Stillwater OK
1990,New York NY
1990,Plattsburgh NY
1990,Alma Ml
1990,St Louis Park MN
1990,Brooklyn Park MN
1990,Fairfax CA
1990,Rochester Ml
1990,Hibbing MN
1990,Concord CA
1990,Ames lA
1990,Corvallis OR
1990,St Paul MN
1990,San Francisco CA
1990,Westfield NJ
1990,Scituate MA
1990,New Hope MN
1990,Chesterfield MO
1990,Rosemont PA
1990,Midland Ml
1990,Port Orchard WA
1990,Golden Valley MN
1990,Acton MA
1990,Indianapolis IN
1990,Victoria MN
1990,Edgerton Wl
1990,Bellevue WA
1990,Seattle WA
1990,Eden Prairie MN
1990,Rochester MN
1990,St Louis Park MN
1990,St Paul MN
1990,Edina MN
1990,Burnsville MN
1990,New London MN
1990,Plainview MN
1990,Springfield VA
1990,Woodbury MN
1990,Richfield MN
1990,Sioux Falls SD
1990,Hoffman Estates IL
1990,Washington DC
1990,San Jose CA
1990,Acton MA
1990,Houston TX
1990,Minnetonka MN
1990,Roswell GA
1990,Dallas TX
1990,Franklin Lakes NJ
1990,Monticello MN
1990,Prescott Wl
1990,Paramus NJ
1990,Powell OH
1990,Cloquet MN
1990,Portland OR
1990,Westfield NJ
1990,Wheaton IL
1990,Chevy Chase MD
1990,Chicago IL
1990,El Paso TX
1990,Hudson Wl
1990,Cambridge MN
1990,Rochester MN
1990,White Bear Lake MN
1990,Claremont CA
1990,Memphis TN
1990,Knoxville TN
1990,Great Falls MT
1990,Great Falls MT
1990,West St Paul MN
1990,Fairbanks AK
1990,Billings MT
1990,Wellesley MA
1990,New Prague MN
1990,Helena MT
1990,Tucson AZ
1990,Evanston IL
1990,Jerez Cadiz SPAIN
1990,Burnsville MN
1990,Minneapolis MN
1990,Hamden CT
1990,Rochester MN
1990,Sacramento CA
1990,Silver Spring MD
1990,Edina MN
1990,Park Rapids MN
1990,Pensacola FL
1990,Wellesley MA
1990,Bedford TX
1990,Mercer Island WA
1990,Kalamazoo Ml
1990,Oswego NY
1990,Matteson IL
1990,Tacoma WA
1990,Winona MN
1990,Cincinnati OH
1990,Klamath Falls OR
1990,Guttenberg lA
1990,Fridley MN
1990,Durtiam NC
1990,Homer AK
1990,Plymouth Ml
1990,Billings MT
1990,Richfield MN
1990,Swarthmore PA
1990,Santa Rosa CA
1990,Buffalo NY
1990,Moraga CA
1990,Elmendorf AFB AK
1990,Woodstock IL
1990,South Miami FL
1990,Central SC
