Year,City,State,Country
1960, Sioux City, Iowa,United States
1960, South Bend, Indiana,United States
1960, Minneapolis, Minnesota,United States
1960, Virginia, Minnesota,United States
1960," Roslyn, Long Island", New York,United States
1960, Moline, Illinois,United States
1960, Ann Arbor, Michigan,United States
1960, Minneapolis, Minnesota,United States
1960, Ladysmith, Wisconsin,United States
1960, Minnesota, East High School ,United States
1960, Roslyn Heights, New York,United States
1960, Minneapolis, Minnesota,United States
1960, Kokomo, Indiana,United States
1960, Kansas City, Kansas,United States
1960, Brookings, South Dakota,United States
1960, Red Wing, Minnesota,United States
1960, Copley, Ohio,United States
1960, Rapid City, South Dakota,United States
1960, Ann Arbor, Michigan,United States
1960, Minneapolis, Minnesota,United States
1960, Mound, Minnesota,United States
1960, Alexandria, Minnesota,United States
1960, Oak Park, Illinois,United States
1960, Valparaiso, Indiana,United States
1960, Lawrence, Kansas,United States
1960, Albert Lea, Minnesota,United States
1960,  Northfield, Minnesota,United States
1960,  Minneapolis, Minnesota,United States
1960, Anoka, Minnesota,United States
1960, Waterloo, Iowa,United States
1960, Rockford, Illinois,United States
1960, Evergreen Park, Illinois,United States
1960, Lewiston, New York,United States
1960,  Rydal, Pennsylvania,United States
1960, St. Cloud,Minnesota,United States
1960, East Longmeadow, Massachusetts,United States
1960, Anoka, Minnesota,United States
1960, Sioux City, Iowa,United States
1960, Windom, Minnesota,United States
1960, Clarkfield, Minnesota,United States
1960, Fort Wayne, Indiana,United States
1960, Neenah, Wisconsin,United States
1960, Winona, Minnesota,United States
1960, Westbury, New York,United States
1960, Faribault, Minnesota,United States
1960, Chicago, Illinois,United States
1960, Basking Ridge, New Jersey,United States
1960, Golden, Colorado,United States
1960, Duluth, Minnesota,United States
1960, Prairie Village, Kansas,United States
1960, Los Angeles, California,United States
1960, St. Paul,Minnesota,United States
1960, Gloucester, Massachusetts,United States
1960, New Haven, Connecticut,United States
1960, Winona, Minnesota,United States
1960, Monson, Massachusetts,United States
1960, Chicago, Illinois,United States
1960, Minneapolis, Minnesota,United States
1960, Rochester, Minnesota,United States
1960, St. Louis,Missouri,United States
1960, Northfield, Minnesota,United States
1960, Downers Grove, Illinois,United States
1960, Bala-Cynwyd, Pennsylvania,United States
1960, Jackson Heights, New York,United States
1960, Faribault, Minnesota,United States
1960, Arlington, Virginia,United States
1960, Laurence, Kansas,United States
1960, Minneapolis, Minnesota,United States
1960, Antioch, California,United States
1960, Fort Dodge, Iowa,United States
1960, Park Forest, Illinois,United States
1960, Lake Bluff, Illinois,United States
1960, Naperville, Illinois,United States
1960, Shaker Heights, Ohio,United States
1960, St. Paul,Minnesota,United States
1960, Indianapolis, Indiana,United States
1960, Worthington, Minnesota,United States
1960, Dawson, Minnesota,United States
1960, Calumet City, Illinois,United States
1960, St. Paul,Minnesota,United States
1960, Caledonia, Minnesota,United States
1960, Minneapolis, Minnesota,United States
1960, St. Paul,Minnesota,United States
1960, Rushford, Minnesota,United States
1960, Clarendon Hills, Illinois,United States
1960, Washington, DC,United States
1960, Wells, Minnesota,United States
1960, Birmingham, Michigan,United States
1960, York, Nebraska,United States
1960, Minneapolis, Minnesota,United States
1960, The Hague, Holland,United States
1960, Milwaukee, Wisconsin,United States
1960, Balaton, Minnesota,United States
1960, Mason City, Iowa,United States
1960, Rockford, Illinois,United States
1960, Springfield, Illinois,United States
1960, Chappaqua, New York,United States
1960, Whitefish Bay, Wisconsin,United States
1960, Fort Wayne, Indiana,United States
1960, Northfield, Minnesota,United States
1960, Milwaukee, Wisconsin,United States
1960, Minneapolis, Minnesota,United States
1960, Wichita, Kansas,United States
1960, Huron, South Dakota,United States
1960, Minneapolis, Minnesota,United States
1960, Rapid City, South Dakota,United States
1960, Winona, Minnesota,United States
1960, Duluth, Minnesota,United States
1960, Hopkins, Minnesota,United States
1960, Worthington, Ohio,United States
1960, Urbana, Illinois,United States
1960, La Grange Park, Illinois,United States
1960, Holmes City, Minnesota,United States
1960, Toledo, Ohio,United States
1960, Great Falls, Montana,United States
1960, Falls Church, Virginia,United States
1960,  Vernfield, Pennsylvania,United States
1960, Columbus, Ohio,United States
1960, Milford, Connecticut,United States
1960, Tacoma, Washington,United States
1960, St. Louis,Missouri,United States
1960, Clarendon Hills, Illinois,United States
1960, Osage, Iowa,United States
1960, Barrington, Rhode Island,United States
1960, La Grange Park, Illinois,United States
1960, Lake Andes, South Dakota,United States
1960, Elko, Nevada,United States
1960, Memphis, Tennessee,United States
1960, Kalamazoo, Michigan,United States
1960, Fond du Lac, Wisconsin,United States
1960, Des Moines, Iowa,United States
1960, Honolulu, Hawaii,United States
1960, Ann Arbor, Michigan,United States
1960, Chicago, Illinois,United States
1960, Munich, Germany ,United States
1960, Chicago, Illinois,United States
1960, Tokyo,, Japan
1960, Euclid, Ohio,United States
1960, St. Louis,Missouri,United States
1960, Alexandria,, Egypt
1960, Hanover-Linden,, West Germany
1960, Anderson, Indiana,United States
1960, Crete, Illinois,United States
1960, Tanganyika,, East Africa
1960, St. Paul,Minnesota,United States
1960, New Rochelle, New York,United States
1960, Chisago City, Minnesota,United States
1960, Balaton, Minnesota,United States
1960, Lake City, Minnesota,United States
1960, Hopkins, Minnesota,United States
1960, Taipei,, Taiwan
1960,  Stockholm,, Sweden
