Year,Hometown
2000,"Sartell, MN"
2000,"Plymouth, MA"
2000,"El Paso, TX"
2000,"Eagan, MN"
2000,"La Crosse, WI"
2000,"Marshfield, WI"
2000,"Prospect, KY"
2000,"Eugene, OR"
2000,"Richfield, MN"
2000,"Tokyo, Japan"
2000,"Los Angeles, CA"
2000,"Minnetonka, MN"
2000,"Berkeley, CA"
2000,"Rochester, MN"
2000,"Northfield, MN"
2000,"Nashville, TN"
2000,"Amherst, MA"
2000,"Newton, IA"
2000,"St. Paul, MN"
2000,"St. Paul, MN"
2000,"Winnetka, IL"
2000,"Aitkin, MN"
2000,"Broomfield, CO"
2000,"Cohasset, MN"
2000,"Seattle, WA"
2000,"Gillette, NJ"
2000,"Stewartville, MN"
2000,"Modesto, CA"
2000,"Salem, OR"
2000,"New Canaan, CT"
2000,"Long Lake, MN"
2000,"Worthington, MN"
2000,"Rye, NY"
2000,"Seattle, OR"
2000,"South Park Ridge, IL"
2000,"Lake Elmo, MN"
2000,"Concord, NH"
2000,"Northfield, MN"
2000,"Gaithersburg, MD"
2000,"Woodbury, MN"
2000,"Minnetonka, MN"
2000,"West Linn, OR"
2000,"West Lebanon, NH"
2000,"Springfield, IL"
2000,"Barto, PA"
2000,"South Park Ridge, IL"
2000,"Pueblo, CO"
2000,"San Francisco, CA"
2000,"Saugus, CA"
2000,"Jackson, MN"
2000,"Columbia, MO"
2000,"Powell, WY"
2000,"St. Paul, MN"
2000,"Madison, WI"
2000,"Citrus Springs, FL"
2000,"Seattle, WA"
2000,"Palo Alto, CA"
2000,"Woodbury, MN"
2000,"Loveland, CO"
2000,"Laguna Beach, CA"
2000,"Bronx, NY"
2000,"Alexandria, VA"
2000,"Mequon, WI"
2000,Sturgeon Bay WI
2000,"Ashland, OR"
2000,"Hagatna, GU"
2000,"Tibruon, CA"
2000,"St. Charles, IL"
2000,"Ames, IA"
2000,"Omaha, NE"
2000,"Riverside, CT"
2000,"Lincoln, NE"
2000,"Bloomington, MN"
2000,"Troy, NY"
2000,"Minneapolis, MN"
2000,"Istanbul, Turkey"
2000,"Northfield, Mf"
2000,"Teaneck, NJ"
2000,"Amherst, MA"
2000,"Granger, IN"
2000,"St. Paul, MN"
2000,"North La Grange, IL"
2000,"Chiba, Japan"
2000,"Naperville, IL"
2000,"Iowa City, IA"
2000,"Vancouver, WA"
2000,"Sheldahl, IA"
2000,"Carmel, IN"
2000,"Rochester, MN"
2000,"Brier, WA"
2000,"Fort Lee, NJ"
2000,"Oak Brook, IL"
2000,"Janesville, WI"
2000,"Anchorage, AK"
2000,"Fort Gratiot, MI"
2000,"Stayton, OR"
2000,"Tunbridge, VT"
2000,"Plymouth, MN"
2000,"Northfield, MN"
2000,"Madison, CT"
2000,"Leawood, KS"
2000,"Bay Village, OH"
2000,"Yelm, WA"
2000,"Portland, OR"
2000,"Marshfield, WI"
2000,"St. Paul, MN"
2000,"Twin Lakes, WI"
2000,"Boulder, CO"
2000,"North Branford, CT"
2000,"Noida, India"
2000,"Oak Park, IL"
2000,"St Paul, MN"
2000,"Concord, NH"
2000,"Oak Park, IL"
2000,"Portland, OR"
2000,"Fort Morgan, CO"
2000,"Guilford, CT"
2000,"Rochester, MN"
2000,"Concord, NH"
2000,"Maplewood, MN"
2000,"Hillsborough, CA"
2000,"Essexville, MI"
2000,"Carlisle, PA"
2000,"Greer, SC"
2000,"Los Angeles, CA"
2000,"Jakarta, Indonesia"
2000,"Beaverton, OR"
2000,"Helvetia, WV"
2000,"Rochester, MN"
2000,"Nashville, TN"
2000,"Northfield, MN"
2000,"Duluth, MN"
2000,"Rosemont, PA"
2000,"St. Louis Park, MN"
2000,"Minneapolis, MN"
2000,"Seabrook, TX"
2000,"Shenyang, China"
2000,"Minnetonka, MN"
2000,"St. Paul, MN"
2000,"Sherman Oaks, CA"
2000,"Flint, MI"
2000,"Andover, MN"
2000,"Smyrna, GA"
2000,"Eden Prairie, MN"
2000,"Waltham, MA"
2000,"Galesburg, IL"
2000,"Pasadena, CA"
2000,"Brookline, MA"
2000,"Greensboro, NC"
2000,"Crystal Lake, IL"
2000,"Minneapolis, MN"
2000,"St. Louis Park, MN"
2000,"Portland, OR"
2000,"Mountain View, CA"
2000,"San Mateo, CA"
2000,"Kentwood, MI"
2000,"Rochester, MN"
2000,"Silver Spring, MD"
2000,"Pleasantville, NY"
2000,"Amherst, MA"
2000,"Hinsdale, IL"
2000,"East Wichita, KS"
2000,"Merriam, KS"
2000,"Livingston, MT"
2000,"St. Paul, MN"
2000,Oklahoma City OK
2000,"Chanhassen, MN"
2000,"San Francisco, CA"
2000,"Acworth, NH"
2000,"Anchorage, AK"
2000,"North Oaks, MN"
2000,"Readfield, ME"
2000,"Grant, MI"
2000,"Wichita, KS"
2000,"Fairfield, IA"
2000,"Santa Fe, NM"
2000,"Fairway, KS"
2000,"Bethesda, MD"
2000,"Roseville, MN"
2000,"Akron, OH"
2000,"Fremont, CA"
2000,"Junction, VT"
2000,"Clive, IA"
2000,"Evanston, IL"
2000,"Shaker Heights, OH"
2000,"St Louis, MO"
2000,"Burlington, NC"
2000,"Newton, MA"
2000,"Seattle, WA"
2000,"East Amherst, NY"
2000,"Portage, Manitoba Canada"
2000,"Lake Nebagamon,"
2000,"Corvallis, OR"
2000,Oklahoma City OK
2000,"Houston, TX"
2000,"Gaithersburg, MD"
2000,"Big Hom, WY"
2000,"St Paul, MN"
2000,"Houston, TX"
2000,"Palmer, AK"
2000,"Taylors Falls, MN"
2000,"Hopewell, NJ"
2000,"Havertown, PA"
2000,"De Soto, TX"
2000,"Minneapolis, MN"
2000,"Wellesley, MA"
2000,"Taipei, Taiwan"
2000,"Tucson, AZ"
2000,"Fargo, ND"
2000,"St. Louis, MO"
2000,"Henniker, NH"
2000,"Ladysmith, WI"
2000,"St. Paul, MN"
2000,"Idaho Falls, ID"
2000,"Ames, IA"
2000,"Eden Prairie, MN"
2000,"Shorewood, WI"
2000,"Glenwood, MN"
2000,"Seattle, WA"
2000,Middlebury VT
2000,"Plymouth, MN"
2000,"Minneapolis, MN"
2000,"Green Bay, WI"
2000,"Oakland, CA"
2000,"Plymouth, MN"
2000,"Mequon, WI"
2000," Woodridge, IL"
2000,"Dayton, MN"
2000,"Hershey, PA"
2000,"Madison, WI"
2000,"Brainerd, MN"
2000,"Kalamazoo, Ml"
2000,"Orange, CT"
2000,"Farmingdale, ME"
2000,"Kathmandu, Nepal"
2000,"Kettle River, MN"
2000,"Rumson, NJ"
2000,"Columbus, OH"
2000,"Eden Prairie, MN"
2000,"Eugene, OR"
2000,"Seattle, WA"
2000,"Iowa City, IA"
2000,"Ithaca, NY"
2000,"Indianapolis, IN"
2000,"Glenwood Springs, CO"
2000,"Gravette, AR"
2000,"North Pole, AK"
2000,"Irvington, NY"
2000,"Bangor, ME"
2000,"Waltham, VT"
2000,"Newtown Square, PA"
2000,"Decatur, GA"
2000,"Clive, IA"
2000,"River Falls, WI"
2000,"Evansville, IN"
2000,"Bloomington, MN"
2000,"Brooklyn Park, MN"
2000,"Tucson, AZ"
2000,"Mentone, CA"
2000,"Austin, MN"
2000,"New Brighton, IV"
2000,"Lakeville, MN"
2000,"Chicago, IL"
2000,"Tony, WI"
2000,"Portland, OR"
2000,"Walton, NE"
2000,"Kokomo, IN"
2000,"Anchorage, AK"
2000,"Denver, CO"
2000,"Richardson, TX"
2000,Salisbury CT
2000,"Rio Rancho, NM"
2000,"New York, NY"
2000,"Bethesda, MD"
2000,"McKinney, TX"
2000,"Red Wing, MN"
2000,"Monroe, CT"
2000,"New London, MN"
2000,"Wichita, KS"
2000,"Tyler, MN"
2000,"Sherwood, OR"
2000,"Brussels, Belgium"
2000,"Dedham, MA"
2000,"Spirit Lake, ID"
2000,"Fort Mill, SC"
2000,"Seattle, WA"
2000,"Duluth, MN"
2000,"Louisville, KY"
2000,"Keene, NH"
2000,"Minneapolis, MN"
2000,"Gordon, WI"
2000,"Pottersville, NJ"
2000,"Fox Point, WI"
2000,"Indianapolis, IN"
2000,"Cary, NC"
2000,"New Hope, MN"
2000,"Minnetonka, MN"
2000," St. Paul, MN"
2000,"Glen Ellyn, IL"
2000,"Minneapolis, MN"
2000,"Dhaka, Bangladesh"
2000,"West Haven, CT"
2000,"Charleston, WV"
2000,"Eugene, OR"
2000,"St Louis, MO"
2000,"St. Louis, MO"
2000,"Cannon Falls, MN"
2000,"St. Louis Park, MN"
2000,"West Lafayette, IN"
2000,"St. Louis, MO"
2000,"Columbia, MO"
2000,"Barrington, IL"
2000,"Corvallis, OR"
2000,"Portland, OR"
2000,"Rochester, MN"
2000,"Boulder, CO"
2000,"Two Harbors, MN"
2000,"Eagan, MN"
2000,"Peaks Island, ME"
2000,"Greenwich, CT"
2000,"Jamaica Plain, MA"
2000,"Fayetteville, AR"
2000,"Shoreview, MN"
2000,"Stillwater, MN"
2000,"Ann Arbor, MI"
2000,"Miami, FL"
2000,"Andover, MA"
2000,Sudbury MA
2000,"Minnetonka, MN"
2000,"Red Wing, MN"
2000,"Niskayuna, NY"
2000,"Dresden, ME"
2000,"Little Falls, MN"
2000,"Royal Oak, MI"
2000,"Janesville, WI"
2000,"Chicago, IL"
2000,"Deephaven, MN"
2000,"Concord, MA"
2000,"South Hero, VT"
2000,"Waunakee, WI"
2000,"Madison, NJ"
2000,"Plymouth, MN"
2000,"Ontario, Canada"
2000,"Evansville, WI"
2000,"St. Paul, MN"
2000,"Lansdowne, PA"
2000,"Bear Creek, WI"
2000,"Potomac, MD"
2000,"El Dorado Hills, CA"
2000,"Ephrata, PA"
2000,"Kangnam-Gu Seoul, Republic of Korea"
2000,"Shanghai, China"
2000,"Guang Zhou Guang Dong, China"
2000,"Edina, MN"
