Year,Hometown
2000,"Eden Prairie, MN"
2000,"Seattle, WA"
2000,"Farmington, MN"
2000,"Skokie, IL"
2000,"Northfield, MN"
2000,"Larkspur, CA"
2000,"Rochester, MN"
2000,"Bemidji, MN"
2000,"Albuquerque, NM"
2000,"Winona, MN"
2000,"Woodside, NY"
2000,"Pierz, MN"
2000,"Chicago, IL"
2000,"Roseville, MN"
2000,"Foster City, CA"
2000,"Salem, OR"
2000,"Nyack, NY"
2000,"Willow River, MN"
2000,"Timisoara, Romania"
2000,"Lakeville, MN"
2000,"Mercer Island, WA"
2000,"West Morristown, TN"
2000,"Gilsum, NH"
2000,"Madison, WI"
2000,"Delamarre Trincity, Trinidad & Tobago"
2000,"San Rafael, CA"
2000,"Elgin, IL"
2000,"Bronx, NY"
2000,"Des Moines, IA"
2000,"Orinda, CA"
2000," Bethesda, MD"
2000,"Iowa City, IA"
2000,"West Lafayette, IN"
2000,"Pewaukee, WI"
2000,"Gaithersburg, MD"
2000,"Baldwin, NY"
2000,"Norfolk, VA"
2000,"Duluth, MN"
2000,"Lawrence, KS"
2000,"Waseca, MN"
2000,"Tigard, OR"
2000,"Midlothian, VA"
2000,"Lubbock, TX"
2000,"Fridley, MN"
2000,"Seattle, WA"
2000,"Barnet, VT"
2000,"Cincinnati, OH"
2000,"Robbinsdale, MN"
2000,"Quechee, VT"
2000,"Glasgow, MT"
2000,"Pittsford, NY"
2000,"Kalamazoo, MI"
2000,"Bayfield, WI"
2000,"Belmont, MA"
2000,"New York, NY"
2000,"New York, NY"
2000,"Berkeley, CA"
2000,"Seattle, WA"
2000,"Milwaukee, WI"
2000,"Evanston, IL"
2000,"Glen Ellyn, IL"
2000,"Bridgewater, NJ"
2000,"Portland, OR"
2000,"Norway, ME"
2000,"Skokie, IL"
2000,"El Paso, TX"
2000,"Calcutta, India"
2000,"Shanghai, China"
2000,"Chicago, IL"
2000,"Apple Valley, MN"
2000,"Portage, MI"
2000,"Seattle, WA"
2000,"Glenmont, NY"
2000,"Ottawa, IL"
2000,"Half Moon Bay, CA"
2000,"Decatur, GA"
2000,"Marshfield, WI"
2000,"Denver, CO"
2000,"Kaiserslautern, Germany"
2000,"Seattle, WA"
2000,University City MO
2000,"Palo Alto, CA"
2000,"Westmont, IL"
2000,"Ardmore, PA"
2000,"Durham, NH"
2000,"Mahtomedi, MN"
2000,"Brookline, MA"
2000,"Charlottesville, VA"
2000,"New York, NY"
2000,"Portland, OR"
2000,"Los Altos, CA"
2000,"Roseville, MN"
2000,"Finlayson, MN"
2000,"Athens, GA"
2000,"Brooklyn, NY"
2000,"Lincoln, NE"
2000,Lake City MN
2000,"Northfield, MN"
2000,"Pocatello, ID"
2000,"Storrs, CT"
2000,"St Louis, MO"
2000,"Monrovia, CA"
2000,"Vernon Hills, IL"
2000,"Rochester Hills, MI"
2000,"Chicago, IL"
2000,"Palo Alto, CA"
2000,"Edina, MN"
2000,"Seattle, WA"
2000,"Scarsdale, NY"
2000,"Dhaka, Bangladesh"
2000,"Bloomington, MN"
2000,"Brunswick, ME"
2000,"Vienna, VA"
2000,"Shoreview, MN"
2000,"Kailua, HI"
2000,"Faribault, MN"
2000,"Decatur, GA"
2000,"Guilford, CT"
2000,"Eldorado, IL"
2000,"Bloomington, MN"
2000,"Philadelphia, PA"
2000,"Bainbridge Island, WA"
2000,"Bozeman, MT"
2000,"Kalamazoo, MI"
2000,"Oakdale, MN"
2000,"Morgantown, WV"
2000," Mahtomedi, MN"
2000,"Northfield, MN"
2000,"Champlin, MN"
2000,"Shepherdsville, KY"
2000,"Wright, MN"
2000,"Decatur, IL"
2000,"Washington, DC"
2000,"Madison, WI"
